id,Extractor,Identifier,Title,Venue,Year,Exclude,SR,SD,SC,ST,SM,SCM,SEM,SEP,SEMM,SQ,SEPP,SEE,CF,MF,EF,Theory,Cognitive Concepts,Cognitive Measures,Assessment,Added Value of Cognitive Aspect,Academia,Industry,Solution Proposal (example),Empirical Study,Experience Papers,Philosophical Papers,Opinion Papers,Unnamed: 34,Attention,Selective attention,Divided attention,Sustained attention,Memory,Working memory,Short-term memory,Long-term memory,Cognitive load,Intrinsic CL,Extrinsic CL,Emotion,Motivation,Intrinsic motivation,Extrinsic motivation,Stress,Reward,Appr. avoid. motiv.,Arousal,Attitude,Perception,Problem solving,Reasoning,Decision making,Errors,Cognitive biases,Knowledge,Explicit knowledge,Tacit knowledge,Techn. tacit knowl.,Cogn. tacit knowl.,Cognitive control,Executive functions,Inhibition,Unnamed: 69,Qualit. measures,Fieldwork,Interview,Task-based,Open observation,Quantit. measures,Task performance,Physiological meas.,Subjective ratings,Behavioral meas.
124,Fabian F.,Moody2009,"The ""Physics"" of Notations: Toward a Scientific Basis for Constructing Visual Notations in Software Engineering",IEEE Transactions on Software Engineering,2009,,,1,,,,,,,,,,,,,,,Cognitive effectiveness,Cognitive effectiveness,None,Central to the study,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
125,Fabian F.,Moody2010,Visual syntax does matter: Improving the cognitive effectiveness of the i* visual notation,Requirements Engineering,2010,,1,,,,,,,,,,,,,,,Physics of Notations,Cognitive effectiveness,"Semiotic clarity
Perceptual discriminability
Semantic transparency
Complexity management
Cognitive integration
Visual expressiveness
Dual coding
Graphic economy
Cognitive fit",Analysis of each measure based on theory,Central to the study,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
126,Robert,Moorthy2011,Program comprehension and implications of human navigational approaches,Proceedings - ICSEng 2011: International Conference on Systems Engineering,2011,,,,1,,,,,,,,,,,,,Human navigation approaches,"Spatio-temporal deficiencies, Spatial navigation skills",Visual memory capacity,"Visual Memory (MV), Spatial Orientation (SO), Spatial Scanning (SS), and Visualization (VZ), Building Memory (MV-2), Map Memory (MV-3) tests were correlated with program comprehension test (questionnaire)",Central to approach.,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
127,Michael U.,Morris2015,Understanding the challenges faced by neurodiverse software engineering employees: Towards a more inclusive and productive technical workforce,ASSETS 2015 - Proceedings of the 17th International ACM SIGACCESS Conference on Computers and Accessibility,2015,,,,,,,,1,,,,1,,,,,,Neurodiverse employees (being on different spectra of autism) have different needs/skills. This has implications on the work environment.,No actual measures of nerodiversity are presented.,Survey with optional questions (questions not shown in paper). + Interviews,Central to the paper,,1,,1,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
128,Robert,Murphy2010,Human-centric software engineering,"Proceedings of the FSE/SDP Workshop on the Future of Software Engineering Research, FoSER 2010",2010,,,1,1,,,,,1,,,,,,,,,cognitive load,,,"Central to paper but paper is only an overview/position paper, no empirical data.",1,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Michael U.,Mustafa2010,Comparing the effect of use case format on end user understanding of system requirements,Journal of Information Technology Research,2010,,1,,,,,,,,,,,,,,,"Cognitive Load Theory
Dual Coding Theory","Knowledge acquisition, working memory, intrinsic and extraneous cognitive load",Model understanding (syntactic [surface] and semantic [deep]) by time to answer and accuracy,Multiple choice questions / identification of faults,Central to the paper,1,,,1,,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
130,Fabian F.,Nelson2008,Patterns of transition: The shift from traditional to object-oriented development,Journal of Management Information Systems,2008,,,,1,,,,,,,,1,,,,,Cognitive fit theory,,"Developer mind-set: ""traditional"" or ""object-oriented""",Questionnaire with items assessing developer mind-set,Provides a general theoretical framework for the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,
131,Robert,Oliveira2014,Its the psychology stupid: How heuristics explain software vulnerabilities and how priming can illuminate developers blind spots,ACM International Conference Proceeding Series,2014,,,1,1,,,,,,,,,,,,,Heuristic-based decision making,Heuristics,N/A,Qualitative data collection (interviews) & analysis,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
132,Michael F.,Parnin2011,Subvocalization – Toward Hearing the Inner Thoughts of Developers,"IEEE International Conference on Program Comprehension, ICPC",2011,,,,1,,,,,,,,,,,,,,subvocalisation,electrical signal emitted from muscle nerves,Electromyogram (EMG),deeper understanding of inner thoughts of developers,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,
133,Michael F.,Parnin2012,Programmer Information Needs after Memory Failure,"IEEE International Conference on Program Comprehension, ICPC",2012,,,,1,,,,,,,,,,,,,Informal theory on information needs and memory aids for different memory failures,"Prospective, attentive, associative, episodic, conceptual memory
memory aids (smart reminders, touch points, associative links, code narratives, memlets)",,,deeper understanding how to manage interruption when performing complex programming tasks,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Michael F.,Parsons2004,Cognitive Heuristics in Software Engineering: Applying and Extending Anchoring and Adjustment to Artifact Reuse,Transactions on Software Engineering,2004,,,1,1,,,,,,,,,,,,,,"anchoring
adjustment","extraneous, erroreous or omitted elements","performing of programming task and measurement of extraneous, erroreous and omitted elements",better understanding of successful reuse of software engineering artifacts,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
135,Fabian F.,Parviainen2014,Knowledge-related challenges and solutions in GSD,Expert Systems,2014,,,,,,,,,,,,1,1,,,,Knowledge management,Knowledge,Knowledge-related challenges (in GSD),"Extraction from literature
Elicitation through surveys
Identification from cases",Central to the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
136,Michael U.,Peng2011,Code architecture and open source software development,"International Conference on Information Systems 2011, ICIS 2011",2011,,,1,1,,,,1,,,,,,,,,,Cognitive cost,Cognitive cost,Project and code metrics,Marginal.,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
137,Michael F.,Pennington1987a,Stimulus Structures and Mental Representations in Expert Comprehension of Computer Programs,Cognitive Psychology,1987,,,,1,,,,,,,,,,,,,,"Text structure knowledge
Plan knowledge
Program comprehension",comprehension errors,programming task,Role knowledge and cognition in comprehension,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
138,Michael U.,Pennington1995,Cognitive activities and levels of abstraction in procedural and object-oriented design,Human-Computer Interaction,1995,,,1,,,,,,,,,,,,,,,Problem solving (developing a software design),Frequency of coded coded cognitive activities during design (9 categories),Thinking aloud protocol,Central to the paper,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
139,Michael U.,Petre1997, A glimpse of expert programmers’ mental imagery.,Proceedings of the 7th Workshop on Empirical Studies of Programmers,1997,,,,1,,,,,,,,,,,,,,Problem solving and visualization,None,Thinking aloud protocol,Central to the paper,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
140,Michael U.,Petre1999, Mental imagery in program design and visual programming,International Journal of Human-Computer Studies,1999,,,,1,,,,,,,,,,,,,,Problem solving and visualization,None,Thinking aloud protocol / Questionnaire,Central to the paper,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
141,Fabian F.,Piri2012,Fear and distrust in global software engineering projects,Journal of Software: Evolution and Process,2012,,,,,,,,1,,,,1,1,,,,,Cognitive-based trust,None directly,Qualitative analysis of interviews,Allowed researchers to distinguish cognitive-based trust from affective trust,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,
142,Michael F.,Potts1999,ScenIC: a strategy for inquiry-driven requirements determination,Proceedings of the IEEE International Conference on Requirements Engineering,1999,,1,,,,,,,,,,,,,,,"Episodic Memory
Scenic Memory",,,,Inquiry in requirments determination similar to human brain,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fabian F.,Ralph2011,Toward a theory of debiasing software development,Lecture Notes in Business Information Processing,2011,,1,1,,,,,1,1,,,1,,,,,Cognitive biases,Several cognitive biases,,,Central to the study,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
144,Fabian F.,Ralph2016,Social theory for software engineering research,ACM International Conference Proceeding Series,2016,,1,1,,,,,1,,,,1,,,,1,"Individual-level cognitive theories: Effectuation, Cognitive Biases
Group-level cognitive theories: Transactive Memory
Other theories: Actor-Network Theory, Complexity Theory, Sensemaking-Coevolution-Implementation Theory, Boundary Objects","Cognitive biases, Effectuation",The occurrence of phenomena in a software development project that can be explained by the various theories listed,Qualitative analysis of action research project,Provides explanatory theory for the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,
145,Fabian F.,Read2011,The role of the story master: A case study of the cognitive load of story management tasks,Proceedings of the Annual Hawaii International Conference on System Sciences,2011,,1,,,,,,1,1,,,1,,,,,"Cognitive Load Theory
Cognitive Effort
Time Based Resource Sharing model of working memory (TBRS)",,"None directly
Indirect measures of experienced cognitive effort",Analysis of field notes from persons involved with the case project,Provides a framework for analysis,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
146,Bogdan M.,Ricca2010,How developers’ experience and ability influence web application comprehension tasks supported by uml stereotypes: a series of four experiments,Transactions on Software Engineering,2010,,,,,,1,,,,,,,,,,,,Comprehension,Comprehension level,"Set of 12 open questions about the tasks, 
Post experiment questionnaire to measure clarity, artifacts comprehension, cognitive effects",Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
147,Bogdan M.,Robillard1999,The role of knowledge in software development,Communications of ACM,1999,,,,1,,,,,,,,,,,,,,Knowledge representation,,,Central to the paper,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
148,Bogdan M.,Robillard2004,How effective developers investigate source code: An exploratory study,Transaction on Software Engineering,2004,,,,,,1,,,,,,,,,,,,Behavior,"Quality of change,","Artifact (code, notes, etc) correctness
Record of the actions taken (Inattention blindness, reinvestigation frequency)",Central to the paper,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
149,Bogdan M.,Rosson1990,The cognitive consequences of object-oriented design,Human-Computer Interaction,1990,,,1,,,,,,,,,,,,,,,"problem decomposition, chunking",,,Central to the paper,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
150,Fabian F.,Shaffer2015,iTrace: Enabling Eye Tracking on Software Artifacts Within the IDE to Support Software Engineering Tasks,ESEC/FSE,2015,,,,1,,1,,,,,,,,,,,,Cognitive thought process (as observed via tracking of eye gaze),Eye tracking,,Central to the study,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
151,Michael U.,Shaft2006,The role of cognitive fit in the relationship between software comprehension and modification,MIS Quarterly: Management Information Systems,2006,,,,,,1,,,,,,,,,,,"Dual-Task Problem Solving
",Cognitive fit and problem solving,Program comprehension / task performance,Questionnaires / task completion scores,Central to the paper ,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,
152,Fabian F.,Shao2003,A new measure of software complexity based on cognitive weights,IEEE Canadian Journal of Electrical and Computer Engineering,2003,,,,1,,1,,,,,,,,,,,Cognitive informatics,"Cognitive weight of software (the degree of difficulty or relative time and effort required for comprehending a given piece of software modelled by a number of basic control structures)
Total cognitive weight of a software component (the sum of the cognitive weights of the basic control structures in the component)
Unit of cognitive weight of software (the cognitive weight of the simplest software component with only a single I/O and a linear basic control structure)
Cognitive functional size (a product of the sum of inputs and outputs and the total cognitive weight)",Cognitive functional size (cognitive complexity of source code),Mathematical analysis; Real-time process algebra,Central to the study,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Michael F.,Sharafi2013,An Empirical Study on the Efficiency of Graphical vs. Textual Representations in Requirements Comprehension,"IEEE International Conference on Program Comprehension, ICPC",2013,,1,,,,,,,,,,,,,,,,"requirements comprehension
textual and graphical representation","efficiency in terms of right answers
effort spent to perform a task",Eye tracking,cognitive view on requirements comprehension,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1
154,Michael F.,Sharif2009a,An Empirical Study on the Comprehension of Stereotyped UML Class Diagram Layouts,"IEEE International Conference on Program Comprehension, ICPC",2009,,,1,,,,,,,1,,,,,,,,UML task comprehension,"accuracy
speed
confidence level",Online questionnaire,deep understanding of ULM stereotypes,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,
155,Michael F.,Sharif2009b,The Effect of Layout on the Comprehension ofUML Class Diagrams: A Controlled Experiment,"Visualizing Software for Understanding and Analysis, VISSOFT",2009,,,1,,,,,,,1,,,,,,,,Software comprehension,"accuracy
speed",,deep understanding of support that UML diagrams provide for software comprehension,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
156,Michael F.,Sharif2010a,An Eye Tracking Study on the Effects of Layout in Understanding the Role of Design Patterns,"IEEE International Conference on Software Maintenance, ICSM",2010,,,1,,,,,,,,,,,,,,,Cognitive effort,"accuracy
time
relevance
visual effort",Eye tracking,role of layout in understanding design patterns,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
157,Michael F.,Sharif2010b,An Eye Tracking Study on camelCase and under_score Identifier Styles,"IEEE International Conference on Program Comprehension, ICPC",2010,,,,1,,,,,,,,,,,,,,Code comprehension,"correctness
find time
visual effort",Eye tracking,deep understanding of the influence of naming conventions on code comprehension,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,
158,Michael F.,Sharif2016,Studying developer gaze to empower software engineering research and practice,Symposium on the Foundations of Software Engineering,2016,,1,,1,,1,,,,,,,,,,,,Cognitive Effort,Eye gaze,Automatic measurement of eye movement with tool iTrace,application of eye gaze to provide innovative support to developers for software engineering tasks like code summarization and recommendation or continuous traceability ,,1,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159,Michael U.,Sheetz2001,Illustrating the cognitive consequences of object oriented system development,Journal of Systems and Software ,2001,,,1,,,,,,,,,,,,,,,"Cognitive activities relevant for Object Oriented design, such as problem understanding and decomposition, solution design","short sentence or phrase generated by a par-
ticipant, prompted by a question related to object system complexity",Cognitive mapping with Self-Q technique (some sort of collective brainstorming technique were the participants themselves perform categorization),Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,
160,Robert,Shmueli2015,A position paper proposing behavioral solutions to challenges in software development projects,Lecture Notes in Business Information Processing,2015,,1,,,,,,1,,,,,,,,,,Cognitive bias,,,Central to paper which summarizes two earlier empirical studies of the authors.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
161,Michael F.,Shmueli2016,Can the outside-view approach improve planning decisions in software development projects?,Information Systems Journal,2016,,,,,,,,1,,,,,,,,,Planning Fallacy (a cognitive bias),"Reference Information
Role Perspective","Total Time Estimation
Number of Features Included
Number of Over-Required Features Included","Measurement of estimation time
Counting of number of features","better understanding of planning fallacy, a cognitive bias referring to the tendency of people to underestimate costs and overestimate benefits in evaluating a task to be performed",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
162,Fabian F.,Shneiderman1979,Syntactic/semantic interactions in programmer behavior: a model and experimental results,International Journal of Computer and Information Sciences,1979,,,,1,1,1,,,,,,,,,,,,"Short-term memory
Long-term memory
Working memory
Cognitive structure:
- Semantic knowledge
- Syntactic knowledge
Cognitive processes involving problem-solving:
- Program composition
- Program comprehension
- Debugging and modification
- Learning (acquisition of programming knowledge)","Comprehensibility of programming structures
Program code recall
Effect of comments and variable naming on comprehension
Effect of modularity on program comprehension
Effect of flowcharts on program composition, comprehension, debugging, and modification",Experimental tasks,Central to the study,1,1,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
163,Fabian F.,Shull2013,Engineering values: From architecture games to agile requirements,IEEE Software,2013,,1,1,1,,,,,,,,,,,,,,Cognitive biases,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
164,Michael U.,Shum1997, Graphical argumentation and design cognition,Human-Computer Interaction,1997,,,1,,,,,,,,,,,,,,,"Cognitive overhead (broken down into tasks: unbundling, classification, naming, structuring) when using a particular approach to record design rationales",None,None,"Side aspect, but througout the paper",,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Fabian F.,Shum2006,Hypermedia support for argumentation-based rationale,Rationale Management in Software Engineering,2006,,,1,,,,,,,,,1,,,,,Cognitive overhead,,,,Motivates the difficulties involved in recording design rationale.,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
166,Bogdan M.,Siau1996,When Parents Need Not Have Children — Cognitive Biases in Information Modeling,Advances Information System Engineering,1996,,1,,,,,,,,,,,,,,,,cognitive biases,"Interpretation task: choice of interpretation, confidence level, perceived familiarity with the domain",Confidence and percived familiarity self assessed (scale from 1 to 7),Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
167,Robert,Siau2004,Informational and Computational Equivalence in Comparing Information Modeling Methods,Journal of Database Management,2004,,,1,,,,,,,,,,,,,,"Human info processing, Herbert Simon's Theory of equivalence of representations",ACT architecture of types of memory,N/A,N/A,Central to paper.,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Bogdan M.,Siau2005,Technical communication in information systems development: the use of cognitive mapping,Transactions on Professional Communication,2005,1,1,1,1,,,,,,,,,,,,,,"cognitive mapping techniques( causal, semantic, and concept mapping)",,,Central to the paper,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Michael F.,Siau2010,Important characteristics of software development team members: an empirical investigation using Repertory Grid,Information Systems Journal,2010,,,,,,,,1,,,,,,,,,,Cognitive Abilities,"Ability to make decisions
Learning Ability
Independence of work",,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
170,Michael U.,Siddiqi1988,Models of programmer behaviour: A comparative study,Proceedings - IEEE Computer Society's International Computer Software {\&} Applications Conference,1988,,,,1,,,,,,,,,,,,,"Text understanding theory (Hayes and Simon, 1974)",Looks at 3 models of problem solving when designing an algorithm.,"No real measures, but rather a classification of programmers activities in problem understading, solution formulation and elaboration based on the observed programmers' behavior.",None,Central to the paper.,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
171,Bogdan M.,Siegmund2012,Toward Measuring Program Comprehension with Functional Magnetic Resonance Imaging,Symposium Foundations of Software Engineering,2012,,,,,,1,,,,,,,,,,,,"Program comprehension, Functional magnetic resonance imaging",Computing the output of code snippets,Correctness of output,Central to the paper,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
172,Michael U.,Siegmund2014,Understanding understanding source code with functional magnetic resonance imaging,Proceedings - International Conference on Software Engineering,2014,,,,,,1,,,,,,,,,,,,"Cognitive processes, identified by activation of certain areas in the brain (Brodmann areas). Processes activated by program comprehension are: working memory, attention, language comprehension.",Program comprehension,Brain area activation (fMRI),Central to the paper.,1,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
173,Fabian F.,Sime1973,Psychological evaluation of two conditional constructions used in computer languages,International Journal of Man–Machine Studies,1973,,,,1,,,,,,,,,,,,,,"Memory (short-term)
Memory (load)
Miller & Chomsky model of (natural) language",Effectiveness of nested and branched conditional structure of programming languages among novices,"Controlled experiment comparing two synthetic mini-languages wrt. conditional structure
- Time taken to complete task
- Semantic errors in program solution",Central to the study,1,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
174,Fabian F.,Sinha1992,Cognitive Fit: An Empirical Study of Recursion and Iteration,IEEE Trans. Software Eng.,1992,,,,1,,,,,,,,,,,,,Cognitive fit,"Mental model (of control flow)
Problem-solving (different kinds of problem-solving models and methods)
Cognitive fit in recursion and iteration","Task and problem representation, control structure (recursion or iteration) use and preference, and their relationship to problem-solving performance","Experimental tasks
- Choices made in task
- Time taken to complete task
Questionnaire on familiarity and preference of recursive/iterative solutions",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,
175,Robert,Sinha2015,Reusing business components and objects for modeling business systems: The influence of decomposition characteristics and analyst experience,Journal of Systems and Software,2015,,,1,,,,,,,,,,,,,,"Representation theory, Memory models","Cognitive fit, Chunk, Decomposition quality & granularity",Hard to tell really since the actual measures are SE/SW-internal but claimed to be clearly related to cognitive models,Measures on the models given as well as modeling performance (time etc),"Argued to be central but I guess this can be discussed, the connection is on a quite theoretical level.",,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
176,Robert,Snodgrass1988,Software requirements specification from a cognitive psychology perspective,,1988,,1,1,,,,,,,,,,,,,,Cognitive memory models,"Conceptual structures such as: Schemata, frames, scripts",N/A,Qualitative study that presents a theory of cognitive processes involved in ReqElicitation. Based on think-aloud protocols and observation of engineers solving early dev tasks.,Central to paper.,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Fabian F.,Snow2007,The effects of optimistic and pessimistic biasing on software project status reporting,Information & Management,2007,1,,,,,,,1,,,,,,,,,,Intentional biasing (of project status reports),Reporting bias (existence and reasons for),Survey,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Fabian F.,Soloway1983,Cognitive Strategies and Looping Constructs: An Empirical Study,Comm. ACM,1983,,,,1,,,,,,,,,,,,,,Cognitive fit (between programming language constructs and programmer's preferred cognitive strategy),"Which looping construct do people naturally use?
Relationship between preferred looping construct and program correctness
Relationship between language-provided looping construct and program correctness","Experimental tasks
- Chosen looping construct in program planning task
- Chosen looping construct in programming task
- Analysis of correctness of programs
- Comparison of choices and correctness against provided language constructs and level of experience
",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,
179,Michael F.,Soloway1984a,Empirical Studies of Programming Knowledge,IEEE Transactions on Software Engineering,1984,,,,1,,,,,,,,,,,,,,Programming knowledge,"correctness
",task correctness,deeper understanding of programming knowledge,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
180,Michael F.,Soloway1984b,A Cognitively-Based Methodology for Designing Languages/Environments/Methodologies,ACM SIGPLAN Notices,1984,,,,1,,,,,,,,,,,,,,Cognitive fit,,,improvement of language design by reducing difficulty of specific concepts,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
181,Michael U.,Sonnentag1994,Stress or-burnout relationship in software development teams,Journal of Occupational and Organizational Psychology,1994,,1,1,1,1,1,,1,,,,,,,,,,Cognitive exhaustion,Stress and burnout,Questionnaires,Central to the paper and purpose of the study,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
182,Robert,Stacy1995,Cognitive Bias in Software Engineering,Communications of the ACM,1995,1,,1,,1,,,1,1,,,,,,,,,Cognitive bias,N/A,N/A,"Central to paper. But it is a lit overview, not empirical.",1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Michael F.,Storey1999,Cognitive design elements to support the construction of a mental model during software exploration,Journal of Systems and Software,1999,,,1,1,,,,,,,,,,,,,"Cognitive Design Elements
Program comprehension models (bottom-up program comprehension, top-down program comprehension, knowledge-based understanding model, systematic and as-needed program understanding strategies) ","Cognitive design elements
Program comprehension
Cognitive overhead",,,support for design of software exploration tools,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
184,Fabian F.,Storrle2011,On the impact of layout quality to understanding UML diagrams,2011 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),2011,,1,,,,,,,,1,,,,,,,Cognitive load,,"Comprehension accuracy
Comprenehsion speed
Preference",Questionnaire (both objective observations and subjective assessment by participants),Central to the study,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
185,Robert,Storrle2013,MOCQL: A declarative language for ad-hoc model querying,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2013,,,1,,,,,,,,,,,,,,,Cognitive load,N/A,"Not based on existing theory, participants subjectively assessed on 5-point Likert scale: Understandability, Effort, Confidence. Presumably Effort is most related to cognitive load?!",Unclear since measurements taken are not clearly connected to cognitive load,1,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
186,Michael U.,Storrle2016,On the impact of size to the understanding of UML diagrams,Software and Systems Modeling,2016,,1,,,,,,,,1,,,,,,,Gestalt laws,"Cognitive load, cogntitive process",Cognitive load,Scale 1..5 for question difficulty and diagram difficulty. Measures are not so clear as questionnaire is not shown. Maybe in previous paper.,Not the main aspect of the paper,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
187,Michael F.,Swan2005,An empirical study of factors that affect user performance when using UML interaction diagrams,"2005 International Symposium on Empirical Software Engineering, ISESE 2005",2005,,,1,,,,,,,,,,,,,,,Cognitive Style,,,cognitive style independent variable for user performance in using UML interaction diagrams,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,,,
188,Robert,Syn2013,"Improving sequence diagram modeling performance: A technique based on Chunking, Ordering, and Patterning",Journal of Database Management,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
