Extractor;Identifier;Title;Venue;Year;Exclude;SR;SD;SC;ST;SM;SCM;SEM;SEP;SEMM;SQ;SEPP;SEE;CF;MF;EF;Theory;Cognitive Concepts;Cognitive Measures;Assessment;Added Value of Cognitive Aspect;Academia;Industry;Solution Proposal (example);Empirical Study;Experience Papers;Philosophical Papers;Opinion Papers;"Outcome
Contribution





";;Attention;Selective attention;Divided attention;Sustained attention;Memory;Working memory;Short-term memory;Long-term memory;Cognitive load;Intrinsic CL;Extrinsic CL;Emotion;Motivation;Intrinsic motivation;Extrinsic motivation;Stress;Reward;Appr. avoid. motiv.;Arousal;Attitude;Perception;Problem solving;Reasoning;Decision making;Errors;Cognitive biases;Knowledge;Explicit knowledge;Tacit knowledge;Techn. tacit knowl.;Cogn. tacit knowl.;Cognitive control;Executive functions;Inhibition;;Qualit. measures;Fieldwork;Interview;Task-based;Open observation;Quantit. measures;Task performance;Physiological meas.;Subjective ratings;Behavioral meas.
Michael U.;Letovsky1987;Cognitive Processes in Program Comprehension;The Journal of Systems and Software;1987;;;;1;;1;;;;;;;;;;;;Problem solving (understanding and modifying code);Type and frequency of utterances, such as inquiries, questions and conjectures.;Thinking aloud protocol;Central to the paper;;1;;1;;;;The paper has the lofty goal to design an artificial intelligence of a human programmer, in 1987. Still, the ideas are interesting and the developed mental model is based on observations of actual programmers.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Fabian F.;Leveson1998;Intent specifications: An approach to building human-centered specifications;Proceedings of the IEEE International Conference on Requirements Engineering;1998;;1;1;1;;;;;;1;;1;;;;;;"Problem-solving
Problem representation (in cognitive psychology sense)
Mental models and strategies";;;Provides a frame for analysis and theoretical evaluation;;;;;;1;;This paper analytically develops an approach for constructing specifications that support human problem solving and tasks in software development and evolution.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Robert;Leveson2000;Intent specifications: An approach to building human-centered specifications;IEEE Transactions on Software Engineering;2000;;1;1;;;;;;;;;;;;;;Rasmussen abstraction hierarchies;Intent abstraction;No systematically collected empirical support, they just talk about their own use of the method;None;Basis for specification approach.;;1;1;;;;;Specification approach. No empirical data though, they just claim it was practically useful when they applied. Amazing that this was TSE worthy in 2000. More than EC10 though since several cognitive constructs related to abstraction is central to approach. Still, no empirical data...;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Ley2008;Modeling competencies for supporting work-integrated learning in knowledge work;Journal of Knowledge Management;2008;;1;;;;;;;;;;;;;;;The competence performance approach;"Competencies (knowledge, skills, abilities)
Learning";"Derivation of a set of tasks
Derivation of needed competencies
Construction of competence performance structures";"Extracting data for the cognitive measures from content analysis of process documents
Interviews with experts
Expert judgement";Provides a framework for reasoning about the paper's topic and steer the study.;;;1;;;;;"A model that provides a mapping between the process, knowledge and competency spaces relevant to a given user. The model can be used to support users in their work tasks in various ways. Here, ""user"" is any knowledge worker, such as a person doing requirements engineering.";1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;
Michael U.;Lloyd1999; A cognitive information processing and information theory approach to diagram clarity: A synthesis and experimental investigation;Journal of Systems and Software;1999;;;1;;;;;;;;;;;;;;Information Theory, Cognitive Information Processing;Problem solving (understanding diagrams);Comprehesion and speed of comprehesion;Questionnaire;Central to the paper;1;;;1;;;;A LOT of theory on how to represent information in diagrams. Cognition is central, but evaluation is a bit unclear. ;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;
Bogdan M.;Love1977;An experimental investigation of the effect of program structure on program understanding;Language Design for Reliable Software;1977;;;;;;1;;;;;;;;;;;;program understanding, program comprehension;Program memorization and reconstruction, description of program function;Percentage of lines recalled correctly and in the original sequence;Central to the paper;1;;;1;;;;Paragraphing does not have an effect on the the ability to recall a program verbatim. Control flow does (according to one of the measures).;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Bogdan M.;Maier2014;Towards diagram understanding: a pilot-study measuring cognitive work-load through eye-tracking;International Conference on Human Behavior in Design;2014;;1;1;;;1;;;;;;;;;;;;program comprehension,;cognitive workload;pupil dilation, fixations;Central to the paper;1;;;1;;;;Impact of layout quality on understanding. Connecting physiological measures (eye tracking) to cognitive processes.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Robert;Mair2011;Human judgement and software metrics: Vision for the future;Proceedings - International Conference on Software Engineering;2011;;;;;;;;1;;;;;1;;;;;Metacognition, Expert behavior, Expert performance, Human/cognitive bias;;None, it is a theoretical study / opinion paper arguing that Cognitive Psychology should be considered more.;Central to the papers proposal for a more holistic and interdisciplinary research approach for metrics.;1;;;;;;1;Proposes a different way to conduct metrics research;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
Bogdan M.;Malhotra1980;Cognitive processes in design;Journal of Man–Machine Studies;1980;;1;1;;;;;;;;;;;;;;;Design Cycles;Originality, Practicality;Presence or absence of any feature present in any design;Central to the paper;1;1;;1;;;;The paper proposes a Customer-Designer model of software design and a set of aids to support such processes.;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;;;;;;;;1;;;;1;1;1;;1;
Bogdan M.;McKeithen1981;Knowledge organization and skill differences in computer programmers;Cognitive Psychology;1981;;;;;;1;;;;;;;;;;;;organization of information;Program memorization and reconstruction, free-learning free-recall;"number of lines written verbatim, in the proper order, 
Reitman & Rueter recall algorithm";Central to the paper;1;;;1;;;;Correlation between expertise and particular mental organization of concepts ;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Fabian F.;Miller2004;A Cognitive-Based Mechanism for Constructing Software Inspection Teams;IEEE Transactions on Software Engineering;2004;;;;;;;;;;;1;;;;;;;"Personality
Cognitive styles";"Personality
Cognitive style";"MBTI personality test
Inspection task";Central to the study;;1;;1;;;;The study results are inconclusive in terms of whether composing teams consisting of individuals with varying cognitive styles will yield more effective software inspection.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;1;
Michael U.;Moe2008;Understanding a lack of trust in Global Software Teams: a multiple-case study;Software Process: Improvement and Practice;2008;;;;;;;;;1;;;;1;;;;;Cognitive-based trust;Reasons and consequences of lack of cognitive-based trust;Perceived/experienced cognitive-based trust based on interviews;Central to the paper.;;1;;1;;; ;Identified key factors causing lack of trust, key consequences for lack of trust.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Mohan2008;Using traceability to mitigate cognitive biases in software development;Communications of the ACM;2008;;1;1;;;;;;;;;1;;;;;Cognitive biases;"Anchoring
Adjustment bias
Availability bias
Confirmation bias";Understanding of system concepts under influence of different degrees of traceability;Analysis of talk-aloud protocols;Central to the study;;1;;1;;;;The paper shows that traceability can reduce cognitive bias (particularly anchoring).;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;
Michael U.;Mohani2014;Requirements Fixation;International Conference on Software Engineering;2014;;1;1;;;;;;;;;;;;;;Fixation and framing effects;Cognitive bias;Design creativity;Subjective 5 point scale;"Framing desiderata as ""requirements"" (Product X shall support Y) decreases design innovation compared to idea fomulations (Product X might support Y).";1;;;1;;;;Initial investigation into a theory of the effect of framing of desiderata?;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;
Fabian F.;Moody2006;What makes a good diagram? Improving the cognitive effectiveness of diagrams in is development;Proceedings of the 15th international conference on information systems development (ISD 2006);2006;;1;1;;;;;;;;;;;;;;;"Language/semiology of graphics
Visual perception
Working memory
Long-term memory
Gestalt laws of perception
Cognitive integration";None;None;Central to the argument;;;;;;1;;The paper presents various cognitive concepts that are at play when humans read visual diagrams (such as UML diagrams) and discuss their impact on how well the intended message in the diagram comes across. In other words, the article lays out principles for diagram usability for software development.;1;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Moody2008;Evaluating the visual syntax of UML: an analysis of the cognitive effectiveness of the UML suite of diagrams;Proceedings of the 1st international conference on software language engineering (SLE2008);2008;;;1;;;;;;;;;;;;;;;"Cognitive effectiveness
Ontological analysis
Information theory
Semiology of graphics
Human graphical information processing";"Cognitive effectiveness:
Principle of semiotic clarity
Principle of perceptual discriminability
Principle of perceptual immediacy
Principle of visual expressiveness
Principle of graphic parsinomy";"Principle of semiotic clarity:
- Symbol redundancy
- Symbol overload
- Symbol excess
- Symbol deficit
Principle of perceptual discriminability:
- Visual distance
- Perceptual popout
Principle of perceptual immediacy:
- Symbols provide cues to their meaning
Principle of visual expressiveness
- The number of different visual variables
Principle of graphic parsinomy
- The size of the visual vocabulary";Central to the study;;;;;;1;;UML is evaluated in terms of a number of principles for cognitive effectiveness. Several flaws are demonstrated and improvements suggested.;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Moody2009;"The ""Physics"" of Notations: Toward a Scientific Basis for Constructing Visual Notations in Software Engineering";IEEE Transactions on Software Engineering;2009;;;1;;;;;;;;;;;;;;;Cognitive effectiveness;Cognitive effectiveness;None;Central to the study;;;1;;;;;"A design theory (""the Physics of Notations"") is presented, consisting of principles that can be used to guide the construction of visual diagrams for software design. The theory is based on various theories related to cognitive aspects.";1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Moody2010;Visual syntax does matter: Improving the cognitive effectiveness of the i* visual notation;Requirements Engineering;2010;;1;;;;;;;;;;;;;;;Physics of Notations;Cognitive effectiveness;"Semiotic clarity
Perceptual discriminability
Semantic transparency
Complexity management
Cognitive integration
Visual expressiveness
Dual coding
Graphic economy
Cognitive fit";Analysis of each measure based on theory;Central to the study;;;;1;;;;An assessment of the visual i* goal-oriented modelling language. The assessment is based on a theory consisting of principles for cognitively effective visual notations (Physics of Notations). The results show that i* has serious notational flaws which could be improved by considering the theoretical principles.;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Moorthy2011;Program comprehension and implications of human navigational approaches;Proceedings - ICSEng 2011: International Conference on Systems Engineering;2011;;;;1;;;;;;;;;;;;;Human navigation approaches;Spatio-temporal deficiencies, Spatial navigation skills;Visual memory capacity;Visual Memory (MV), Spatial Orientation (SO), Spatial Scanning (SS), and Visualization (VZ), Building Memory (MV-2), Map Memory (MV-3) tests were correlated with program comprehension test (questionnaire);Central to approach.;1;;;1;;;;Rather weak experimental results but some correlation is indicated.;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Michael U.;Morris2015;Understanding the challenges faced by neurodiverse software engineering employees: Towards a more inclusive and productive technical workforce;ASSETS 2015 - Proceedings of the 17th International ACM SIGACCESS Conference on Computers and Accessibility;2015;;;;;;;;1;;;;1;;;;;;Neurodiverse employees (being on different spectra of autism) have different needs/skills. This has implications on the work environment.;No actual measures of nerodiversity are presented.;Survey with optional questions (questions not shown in paper). + Interviews;Central to the paper;;1;;1;;;;Implications are particularly interesting for human resource management, team formation, task assignment etc. ;1;1;1;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;
Robert;Murphy2010;Human-centric software engineering;Proceedings of the FSE/SDP Workshop on the Future of Software Engineering Research, FoSER 2010;2010;;;1;1;;;;;1;;;;;;;;;cognitive load;;;Central to paper but paper is only an overview/position paper, no empirical data.;1;;;;;;1;Position paper with a few examples rather than lit rev.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Mustafa2010;Comparing the effect of use case format on end user understanding of system requirements;Journal of Information Technology Research;2010;;1;;;;;;;;;;;;;;;"Cognitive Load Theory
Dual Coding Theory";Knowledge acquisition, working memory, intrinsic and extraneous cognitive load;Model understanding (syntactic [surface] and semantic [deep]) by time to answer and accuracy;Multiple choice questions / identification of faults;Central to the paper;1;;;1;;;;"The study indicates that supporting the text description of a use case model with
diagram provides for better comprehension of the model semantics.";1;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Fabian F.;Nelson2008;Patterns of transition: The shift from traditional to object-oriented development;Journal of Management Information Systems;2008;;;;1;;;;;;;;1;;;;;Cognitive fit theory;;"Developer mind-set: ""traditional"" or ""object-oriented""";Questionnaire with items assessing developer mind-set;Provides a general theoretical framework for the study;;1;;1;;;;The study explores the shift in mind-set as developers transition from traditional to object-oriented programming. The results show different areas that develop as developers gain experience with object-oriented programming, suggesting that the transition pattern is complex rather than binary. The study has implications for learning and the technology transition from traditional to OOP.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;
Robert;Oliveira2014;Its the psychology stupid: How heuristics explain software vulnerabilities and how priming can illuminate developers blind spots;ACM International Conference Proceeding Series;2014;;;1;1;;;;;;;;;;;;;Heuristic-based decision making;Heuristics;N/A;Qualitative data collection (interviews) & analysis;;1;1;;1;;;;"Impressive work. New way to view secure sw vulnerabilities based on developers decision-making ""errors"". Empirically evaluated.";1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;
Michael F.;Parnin2011;Subvocalization – Toward Hearing the Inner Thoughts of Developers;IEEE International Conference on Program Comprehension, ICPC;2011;;;;1;;;;;;;;;;;;;;subvocalisation;electrical signal emitted from muscle nerves;Electromyogram (EMG);deeper understanding of inner thoughts of developers;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;;
Michael F.;Parnin2012;Programmer Information Needs after Memory Failure;IEEE International Conference on Program Comprehension, ICPC;2012;;;;1;;;;;;;;;;;;;Informal theory on information needs and memory aids for different memory failures;"Prospective, attentive, associative, episodic, conceptual memory
memory aids (smart reminders, touch points, associative links, code narratives, memlets)";;;deeper understanding how to manage interruption when performing complex programming tasks;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Parsons2004;Cognitive Heuristics in Software Engineering: Applying and Extending Anchoring and Adjustment to Artifact Reuse;Transactions on Software Engineering;2004;;;1;1;;;;;;;;;;;;;;"anchoring
adjustment";extraneous, erroreous or omitted elements;performing of programming task and measurement of extraneous, erroreous and omitted elements;better understanding of successful reuse of software engineering artifacts;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;
Fabian F.;Parviainen2014;Knowledge-related challenges and solutions in GSD;Expert Systems;2014;;;;;;;;;;;;1;1;;;;Knowledge management;Knowledge;Knowledge-related challenges (in GSD);"Extraction from literature
Elicitation through surveys
Identification from cases";Central to the study;;1;;1;;;;The paper identified knowledge-based challenges in GSD and discusses how to overcome them.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;
Michael U.;Peng2011;Code architecture and open source software development;International Conference on Information Systems 2011, ICIS 2011;2011;;;1;1;;;;1;;;;;;;;;;Cognitive cost;Cognitive cost;Project and code metrics;Marginal.;;;;1;;;;Tried to establish relationship between cognitive cost, coordination cost and code quality, but they did not really do it. Candidate for border paper.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Michael F.;Pennington1987a;Stimulus Structures and Mental Representations in Expert Comprehension of Computer Programs;Cognitive Psychology;1987;;;;1;;;;;;;;;;;;;;"Text structure knowledge
Plan knowledge
Program comprehension";comprehension errors;programming task;Role knowledge and cognition in comprehension;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Michael U.;Pennington1995;Cognitive activities and levels of abstraction in procedural and object-oriented design;Human-Computer Interaction;1995;;;1;;;;;;;;;;;;;;;Problem solving (developing a software design);Frequency of coded coded cognitive activities during design (9 categories);Thinking aloud protocol;Central to the paper;;1;;1;;;;Systematic and detailed.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Michael U.;Petre1997; A glimpse of expert programmers’ mental imagery.;Proceedings of the 7th Workshop on Empirical Studies of Programmers;1997;;;;1;;;;;;;;;;;;;;Problem solving and visualization;None;Thinking aloud protocol;Central to the paper;1;1;;1;;;;Not very good paper (compared to e.g. Pennington1995), but interesting as it picks up ideas that have not yet been discussed before (studying the audio-visual aspects of problem solving). Given the time when the study was conducted, think aloud protocols were likely the only means to study this, now we can use e.g. fmri. ;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Michael U.;Petre1999; Mental imagery in program design and visual programming;International Journal of Human-Computer Studies;1999;;;;1;;;;;;;;;;;;;;Problem solving and visualization;None;Thinking aloud protocol / Questionnaire;Central to the paper;1;1;;1;;;;This is an extension of Petre1997, adding a survey to the observational study. This paper reports on both studies.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;
Fabian F.;Piri2012;Fear and distrust in global software engineering projects;Journal of Software: Evolution and Process;2012;;;;;;;;1;;;;1;1;;;;;Cognitive-based trust;None directly;Qualitative analysis of interviews;Allowed researchers to distinguish cognitive-based trust from affective trust;;1;;1;;;;Improved understanding of the origins of distrust within and between development sites. Unfulfilled cognitive expectations on the part of people at the on-site location towards people at the off-site locations could result in lack of interpersonal trust (cognitive-based (dis)trust).;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;
Michael F.;Potts1999;ScenIC: a strategy for inquiry-driven requirements determination;Proceedings of the IEEE International Conference on Requirements Engineering;1999;;1;;;;;;;;;;;;;;;"Episodic Memory
Scenic Memory";;;;Inquiry in requirments determination similar to human brain;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Ralph2011;Toward a theory of debiasing software development;Lecture Notes in Business Information Processing;2011;;1;1;;;;;1;1;;;1;;;;;Cognitive biases;Several cognitive biases;;;Central to the study;;;;;;1;;The paper proposes a theoretical framework of errors in software development and their relationship to cognitive biases. This could be a useful illustration although there is no empirical validation. (The theory is well developed and conceptually evaluated.);1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Fabian F.;Ralph2016;Social theory for software engineering research;ACM International Conference Proceeding Series;2016;;1;1;;;;;1;;;;1;;;;1;"Individual-level cognitive theories: Effectuation, Cognitive Biases
Group-level cognitive theories: Transactive Memory
Other theories: Actor-Network Theory, Complexity Theory, Sensemaking-Coevolution-Implementation Theory, Boundary Objects";Cognitive biases, Effectuation;The occurrence of phenomena in a software development project that can be explained by the various theories listed;Qualitative analysis of action research project;Provides explanatory theory for the study;;1;;1;;;;"Illustration of how cognitive / social theories can be used to explain phenomena in software engineering projects. With respect to effectuation, explains how part of the project used bottom-up reasoning, i.e. reasoning from ""what I have"" to ""what I can do with it"". With respect to cognitive biases, explains why project participants selected default options to implement certain requirements, leading the implementation to ignore the application domain and be suboptimal for use in that domain.";1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;
Fabian F.;Read2011;The role of the story master: A case study of the cognitive load of story management tasks;Proceedings of the Annual Hawaii International Conference on System Sciences;2011;;1;;;;;;1;1;;;1;;;;;"Cognitive Load Theory
Cognitive Effort
Time Based Resource Sharing model of working memory (TBRS)";;"None directly
Indirect measures of experienced cognitive effort";Analysis of field notes from persons involved with the case project;Provides a framework for analysis;;1;;1;;;;"The study showed that having a ""story master"" on an agile team could reduce cognitive load for the customer, but with several caveats. The wider implication is that it may be possible to transfer cognitive effort from one person to another.";1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
Bogdan M.;Ricca2010;How developers’ experience and ability influence web application comprehension tasks supported by uml stereotypes: a series of four experiments;Transactions on Software Engineering;2010;;;;;;1;;;;;;;;;;;;Comprehension;Comprehension level;"Set of 12 open questions about the tasks, 
Post experiment questionnaire to measure clarity, artifacts comprehension, cognitive effects";Central to the paper;1;;;1;;;;Results indicate that subjects having different ability/experience achieved different performance and different levels of benefit by using stereotyped diagrams.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Bogdan M.;Robillard1999;The role of knowledge in software development;Communications of ACM;1999;;;;1;;;;;;;;;;;;;;Knowledge representation;;;Central to the paper;1;;;;;1;;The paper identifies software development as the processing of knowledge and proceeds to describe several types of knowledge, together with representations and examples. ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Bogdan M.;Robillard2004;How effective developers investigate source code: An exploratory study;Transaction on Software Engineering;2004;;;;;;1;;;;;;;;;;;;Behavior;Quality of change,;"Artifact (code, notes, etc) correctness
Record of the actions taken (Inattention blindness, reinvestigation frequency)";Central to the paper;;;;1;;;;A qualitative analysis of the behavior of developers during a code change task and hypotheses built from that analysis.;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Bogdan M.;Rosson1990;The cognitive consequences of object-oriented design;Human-Computer Interaction;1990;;;1;;;;;;;;;;;;;;;problem decomposition, chunking;;;Central to the paper;;;;;;1;;The paper argues for considering object oriented languages (any by extension software) from a psychological perspective. It speculates about the cognitive implications of OOD, and suggests direction for research.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Shaffer2015;iTrace: Enabling Eye Tracking on Software Artifacts Within the IDE to Support Software Engineering Tasks;ESEC/FSE;2015;;;;1;;1;;;;;;;;;;;;Cognitive thought process (as observed via tracking of eye gaze);Eye tracking;;Central to the study;;;1;;;;;The paper describes iTrace, a tool that automates labeling of eye tracking events with the semantic element that the gaze has been focused on in the Eclipse IDE. Only technical description is provided, no evaluation.;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Michael U.;Shaft2006;The role of cognitive fit in the relationship between software comprehension and modification;MIS Quarterly: Management Information Systems;2006;;;;;;1;;;;;;;;;;;"Dual-Task Problem Solving
";Cognitive fit and problem solving;Program comprehension / task performance;Questionnaires / task completion scores;Central to the paper ;;1;;1;;;;Theory, hypotheses and validation;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;
Fabian F.;Shao2003;A new measure of software complexity based on cognitive weights;IEEE Canadian Journal of Electrical and Computer Engineering;2003;;;;1;;1;;;;;;;;;;;Cognitive informatics;"Cognitive weight of software (the degree of difficulty or relative time and effort required for comprehending a given piece of software modelled by a number of basic control structures)
Total cognitive weight of a software component (the sum of the cognitive weights of the basic control structures in the component)
Unit of cognitive weight of software (the cognitive weight of the simplest software component with only a single I/O and a linear basic control structure)
Cognitive functional size (a product of the sum of inputs and outputs and the total cognitive weight)";Cognitive functional size (cognitive complexity of source code);"Mathematical analysis; Real-time process algebra";Central to the study;;;;1;;;;The paper develops the cognitive functional size metric, which is claimed to measure the cognitive complexity of a piece of software source code. The paper demonstrates through mathematical case studies that the metric can be used to compare cognitive complexity and physical size of programs. No experimental validation with humans is included.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Sharafi2013;An Empirical Study on the Efficiency of Graphical vs. Textual Representations in Requirements Comprehension;IEEE International Conference on Program Comprehension, ICPC;2013;;1;;;;;;;;;;;;;;;;"requirements comprehension
textual and graphical representation";"efficiency in terms of right answers
effort spent to perform a task";Eye tracking;cognitive view on requirements comprehension;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
Michael F.;Sharif2009a;An Empirical Study on the Comprehension of Stereotyped UML Class Diagram Layouts;IEEE International Conference on Program Comprehension, ICPC;2009;;;1;;;;;;;1;;;;;;;;UML task comprehension;"accuracy
speed
confidence level";Online questionnaire;deep understanding of ULM stereotypes;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;1;
Michael F.;Sharif2009b;The Effect of Layout on the Comprehension ofUML Class Diagrams: A Controlled Experiment;Visualizing Software for Understanding and Analysis, VISSOFT;2009;;;1;;;;;;;1;;;;;;;;Software comprehension;"accuracy
speed";;deep understanding of support that UML diagrams provide for software comprehension;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
Michael F.;Sharif2010a;An Eye Tracking Study on the Effects of Layout in Understanding the Role of Design Patterns;IEEE International Conference on Software Maintenance, ICSM;2010;;;1;;;;;;;;;;;;;;;Cognitive effort;"accuracy
time
relevance
visual effort";Eye tracking;role of layout in understanding design patterns;1;;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
Michael F.;Sharif2010b;An Eye Tracking Study on camelCase and under_score Identifier Styles;IEEE International Conference on Program Comprehension, ICPC;2010;;;;1;;;;;;;;;;;;;;Code comprehension;"correctness
find time
visual effort";Eye tracking;deep understanding of the influence of naming conventions on code comprehension;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;;
Michael F.;Sharif2016;Studying developer gaze to empower software engineering research and practice;Symposium on the Foundations of Software Engineering;2016;;1;;1;;1;;;;;;;;;;;;Cognitive Effort;Eye gaze;Automatic measurement of eye movement with tool iTrace;application of eye gaze to provide innovative support to developers for software engineering tasks like code summarization and recommendation or continuous traceability ;;1;1;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Michael U.;Sheetz2001;Illustrating the cognitive consequences of object oriented system development;Journal of Systems and Software ;2001;;;1;;;;;;;;;;;;;;;Cognitive activities relevant for Object Oriented design, such as problem understanding and decomposition, solution design;"short sentence or phrase generated by a par-
ticipant, prompted by a question related to object system complexity";Cognitive mapping with Self-Q technique (some sort of collective brainstorming technique were the participants themselves perform categorization);Central to the paper;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;1;;;;;;;
Robert;Shmueli2015;A position paper proposing behavioral solutions to challenges in software development projects;Lecture Notes in Business Information Processing;2015;;1;;;;;;1;;;;;;;;;;Cognitive bias;;;Central to paper which summarizes two earlier empirical studies of the authors.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Michael F.;Shmueli2016;Can the outside-view approach improve planning decisions in software development projects?;Information Systems Journal;2016;;;;;;;;1;;;;;;;;;Planning Fallacy (a cognitive bias);"Reference Information
Role Perspective";"Total Time Estimation
Number of Features Included
Number of Over-Required Features Included";"Measurement of estimation time
Counting of number of features";better understanding of planning fallacy, a cognitive bias referring to the tendency of people to underestimate costs and overestimate benefits in evaluating a task to be performed;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
